SampleID,Site,Room #,Date,Entry,SamplerStart,SamplerEnd,SamplerNumber,Location,CollectionMethod,Notes,N,ORF1ab,S,MS2,Result,Ct,isobuild,isonwing,isoswing,quarbuild,quarnwing,quarswing,isostack49,quarstack49,buildingcensus,stacktotal,Day,segment
5882,Barnhart,Roof,3/7/2021,31,NA,1830,NA,Roof port,swab,NA,29.8,No Amp,29.4,30.5,Positive (2/3),33.1,5,5,,10,1,9,,1,15,1,29,
6021,Barnhart,Lobby,3/15/2021,92,1809,1610,3,TF,PUF,0 confirmed positive cases and 7 traced in building 7 South as of 11 AM 3/16,31.9,No Amp,No Amp,33.3,Negative,37.3,3,3,,6,,6,,,9,0,37,overnight
5818,Barnhart,Lobby,3/1/2021,79,1812,1750,4,TF,PUF,NA,NA,NA,NA,NA,NA,NA,13,12,1,10,2,8,,1,23,1,23,overnight
5899,Barnhart,2 Hall North,3/8/2021,12,1825,1727,7,TF,PUF,NA,29.2,No Amp,30.3,30.3,Positive (2/3),33.2,5,5,,10,1,9,,1,15,1,30,overnight
5898,Barnhart,7 Hall North,3/8/2021,12,1828,1725,1,TF,PUF,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,5,5,,10,1,9,,1,15,1,30,overnight
5900,Barnhart,Roof,3/8/2021,33,1830,1733,5,Roof Exhaust TF,PUF,NA,33.6,No Amp,No Amp,27.4,Negative,37.9,5,5,,10,1,9,,1,15,1,30,overnight
5896,Barnhart,Lobby,3/8/2021,85,NA,1757,NA,Door South,Settling Plate,NA,No Amp,No Amp,No Amp,31.5,Negative,40,5,5,,10,1,9,,1,15,1,30,
5895,Barnhart,Lobby,3/8/2021,85,NA,1757,NA,Next to TFS,Settling Plate,NA,NA,NA,NA,NA,NA,NA,5,5,,10,1,9,,1,15,1,30,
5897,Barnhart,Lobby,3/8/2021,85,NA,1757,NA,Door West,Settling Plate,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,5,5,,10,1,9,,1,15,1,30,
5901,Barnhart,Roof,3/8/2021,32,NA,1733,NA,Roof port,swab,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,5,5,,10,1,9,,1,15,1,30,
5928,Barnhart,2 Hall North,3/9/2021,13,1725,1634,7,TF,PUF,NA,32.5,No Amp,29.8,32,Positive (2/3),34.1,7,7,,8,1,7,,,15,0,31,overnight
5929,Barnhart,7 Hall North,3/9/2021,13,1725,1640,1,TF,PUF,NA,30.5,No Amp,No Amp,30,Negative,36.8,7,7,,8,1,7,,,15,0,31,overnight
5961,Barnhart,Roof,3/9/2021,35,1725,1740,5,Roof Exhaust TF,PUF,NA,No Amp,No Amp,No Amp,32.8,Negative,40,7,7,,8,1,7,,,15,0,31,overnight
5930,Barnhart,Roof,3/9/2021,34,1733,1725,5,Roof Exhaust TF,PUF,NA,32.2,No Amp,No Amp,31,Negative,37.4,7,7,,8,1,7,,,15,0,31,overnight
5925,Barnhart,Lobby,3/9/2021,86,NA,1631,NA,Next to TFS,Settling Plate,NA,NA,NA,NA,NA,NA,NA,7,7,,8,1,7,,,15,0,31,
5926,Barnhart,Lobby,3/9/2021,86,NA,1631,NA,Door South,Settling Plate,NA,NA,NA,NA,NA,NA,NA,7,7,,8,1,7,,,15,0,31,
5927,Barnhart,Lobby,3/9/2021,86,NA,1631,NA,Door West,Settling Plate,NA,NA,NA,NA,NA,NA,NA,7,7,,8,1,7,,,15,0,31,
5962,Barnhart,Roof,3/9/2021,34,NA,1740,NA,Roof port,swab,NA,30.7,No Amp,No Amp,26.7,Negative,36.9,7,7,,8,1,7,,,15,0,31,
5931,Barnhart,Roof,3/9/2021,33,NA,1725,NA,Roof port,swab,NA,NA,NA,NA,NA,NA,NA,7,7,,8,1,7,,,15,0,31,
5954,Barnhart,Lobby,3/10/2021,87,1645,1743,3,TF,PUF,NA,No Amp,No Amp,No Amp,27.9,Negative,40,7,7,,7,1,6,,,14,0,32,aftertrac
5955,Barnhart,Lobby,3/10/2021,87,1645,1743,4,TF,PUF,NA,32.5,31.2,19.8,30.1,Positive (3/3),27.9,7,7,,7,1,6,,,14,0,32,aftertrac
5959,Barnhart,2 Hall North,3/10/2021,14,1634,1734,7,TF,PUF,NA,32.7,30.6,25.8,31.4,Positive (3/3),29.7,7,7,,7,1,6,,,14,0,32,aftertrac
5960,Barnhart,7 Hall North,3/10/2021,14,1640,1738,1,TF,PUF,NA,33.4,33.1,No Amp,28.7,Positive (2/3),35.5,7,7,,7,1,6,,,14,0,32,aftertrac
5981,Barnhart,Roof,3/10/2021,36,1740,1747,5,Roof Exhaust TF,PUF,NA,No Amp,No Amp,No Amp,28.9,Negative,40,7,7,,7,1,6,,,14,0,32,overnight
5956,Barnhart,Lobby,3/10/2021,87,NA,1730,NA,Next to TFS,Settling Plate,NA,No Amp,No Amp,No Amp,28.5,Negative,40,7,7,,7,1,6,,,14,0,32,
5957,Barnhart,Lobby,3/10/2021,87,NA,1730,NA,Door South,Settling Plate,NA,No Amp,No Amp,No Amp,30.8,Negative,40,7,7,,7,1,6,,,14,0,32,
5958,Barnhart,Lobby,3/10/2021,87,NA,1730,NA,Door West,Settling Plate,NA,No Amp,No Amp,No Amp,29.7,Negative,40,7,7,,7,1,6,,,14,0,32,
5982,Barnhart,Roof,3/10/2021,35,NA,1747,NA,Roof port,swab,NA,No Amp,No Amp,No Amp,31.7,Negative,40,7,7,,7,1,6,,,14,0,32,
5817,Barnhart,Lobby,3/1/2021,79,1812,1750,3,TF,PUF,NA,31.7,33.5,28.7,27.9,Positive (3/3),31.3,13,12,1,10,2,8,,1,23,1,23,overnight
4425,Barnhart,Lobby,2/15/2021,33,1815,903,3,TF,PUF,NA,No Amp,No Amp,No Amp,24.6,Negative,40,34,25,9,41,25,16,,1,75,1,9,overnight
5979,Barnhart,2 Hall North,3/11/2021,15,1734,1752,7,TF,PUF,NA,32.4,No Amp,No Amp,28.1,Negative,37.5,7,7,,6,,6,,,13,0,33,overnight
5980,Barnhart,7 Hall North,3/11/2021,15,1738,1745,1,TF,PUF,NA,No Amp,No Amp,No Amp,29.1,Negative,40,7,7,,6,,6,,,13,0,33,overnight
6001,Barnhart,Roof,3/11/2021,37,1747,1810,5,Roof Exhaust TF,PUF,NA,33.4,32.9,No Amp,27.5,Positive (2/3),35.4,7,7,,6,,6,,,13,0,33,overnight
5976,Barnhart,Lobby,3/11/2021,88,NA,1736,NA,Next to TFS,Settling Plate,NA,No Amp,No Amp,No Amp,30.3,Negative,40,7,7,,6,,6,,,13,0,33,
5977,Barnhart,Lobby,3/11/2021,88,NA,1736,NA,Door South,Settling Plate,NA,33.5,33.9,No Amp,31.1,Positive (2/3),35.8,7,7,,6,,6,,,13,0,33,
5978,Barnhart,Lobby,3/11/2021,88,NA,1736,NA,Door West,Settling Plate,NA,No Amp,No Amp,No Amp,28.2,Negative,40,7,7,,6,,6,,,13,0,33,
6002,Barnhart,Roof,3/11/2021,36,NA,1810,NA,Roof port,swab,NA,No Amp,No Amp,No Amp,28.1,Negative,40,7,7,,6,,6,,,13,0,33,
4426,Barnhart,Lobby,2/15/2021,33,1815,903,4,TF,PUF,NA,28.1,No Amp,No Amp,25,Negative,36,34,25,9,41,25,16,,1,75,1,9,overnight
5893,Barnhart,Lobby,3/7/2021,85,1821,1757,3,TF,PUF,NA,32.9,25.1,No Amp,29.4,Positive (2/3),32.7,5,5,,10,1,9,,1,15,1,29,overnight
5894,Barnhart,Lobby,3/7/2021,85,1821,1757,4,TF,PUF,NA,No Amp,No Amp,29.4,30.4,Negative,36.5,5,5,,10,1,9,,1,15,1,29,overnight
6003,Barnhart,Lobby,3/12/2021,90,1830,1530,3,TF,PUF,NA,No Amp,No Amp,No Amp,27.9,Negative,40,7,7,,6,,6,,,13,0,34,overnight
6000,Barnhart,7 Hall North,3/12/2021,16,1745,1755,1,TF,PUF,NA,34.7,No Amp,No Amp,28,Negative,38.2,7,7,,6,,6,,,13,0,34,overnight
6008,Barnhart,2 Hall North,3/12/2021,17,1750,1515,7,TF,PUF,NA,30.6,30.6,No Amp,28.3,Positive (2/3),33.8,7,7,,6,,6,,,13,0,34,overnight
5999,Barnhart,2 Hall North,3/12/2021,16,1752,1750,7,TF,PUF,NA,32.8,30.8,No Amp,28.6,Positive (2/3),34.5,7,7,,6,,6,,,13,0,34,overnight
6009,Barnhart,7 Hall North,3/12/2021,17,1755,1520,1,TF,PUF,NA,33.3,No Amp,No Amp,28,Negative,37.8,7,7,,6,,6,,,13,0,34,overnight
6010,Barnhart,Roof,3/12/2021,38,1810,1527,5,Roof Exhaust TF,PUF,NA,32.6,No Amp,No Amp,28.7,Negative,37.5,7,7,,6,,6,,,13,0,34,overnight
5996,Barnhart,Lobby,3/12/2021,89,NA,1052,NA,Next to TFS,Settling Plate,NA,No Amp,No Amp,No Amp,29,Negative,40,7,7,,6,,6,,,13,0,34,
5997,Barnhart,Lobby,3/12/2021,89,NA,1052,NA,Door South,Settling Plate,NA,No Amp,No Amp,No Amp,29.9,Negative,40,7,7,,6,,6,,,13,0,34,
5998,Barnhart,Lobby,3/12/2021,89,NA,1052,NA,Door West,Settling Plate,NA,No Amp,No Amp,No Amp,32.4,Negative,40,7,7,,6,,6,,,13,0,34,
6013,Barnhart,Lobby,3/13/2021,91,1530,1809,4,TF,PUF,NA,NA,NA,NA,NA,NA,NA,6,6,,6,,6,,,12,0,35,aftertrac
6012,Barnhart,Lobby,3/13/2021,91,1530,1809,3,TF,PUF,NA,31.4,No Amp,No Amp,27.8,Negative,37.1,6,6,,6,,6,,,12,0,35,aftertrac
6017,Barnhart,2 Hall North,3/13/2021,18,1515,1820,7,TF,PUF,NA,30.7,No Amp,No Amp,No Amp,Negative,36.9,6,6,,6,,6,,,12,0,35,aftertrac
6018,Barnhart,7 Hall North,3/13/2021,18,1520,1823,1,TF,PUF,NA,30.6,30.9,No Amp,27.2,Positive (2/3),33.9,6,6,,6,,6,,,12,0,35,aftertrac
6019,Barnhart,Roof,3/13/2021,39,1527,1829,5,Roof Exhaust TF,PUF,NA,30.3,No Amp,No Amp,No Amp,Negative,36.8,6,6,,6,,6,,,12,0,35,aftertrac
6006,Barnhart,Lobby,3/13/2021,90,NA,1530,NA,Door South,Settling Plate,NA,No Amp,No Amp,No Amp,31.7,Negative,38.3,6,6,,6,,6,,,12,0,35,
6007,Barnhart,Lobby,3/13/2021,90,NA,1530,NA,Door West,Settling Plate,NA,30.2,No Amp,No Amp,27.7,Negative,36.7,6,6,,6,,6,,,12,0,35,
6011,Barnhart,Roof,3/13/2021,37,NA,1527,NA,Roof port,swab,NA,33.3,No Amp,No Amp,29,Negative,37.8,6,6,,6,,6,,,12,0,35,
filler,filler,filler,3/14/2021,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,filler,4,4,,6,,6,,,10,,36,
6004,Barnhart,Lobby,3/12/2021,90,1830,1530,4,TF,PUF,NA,No Amp,No Amp,No Amp,27.9,Negative,40,7,7,,6,,6,,,13,0,34,overnight
3979,Barnhart,Lobby,2/9/2021,15,1900,839,3,TF,PUF,NA,31,32.1,24.3,29,Positive (3/3),29.1,62,45,17,43,26,17,1,,105,1,3,overnight
6026,Barnhart,2 Hall North,3/15/2021,19,1820,1605,7,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,NA,NA,NA,NA,NA,NA,3,3,,6,,6,,,9,0,37,overnight
6027,Barnhart,7 Hall North,3/15/2021,19,1823,1607,1,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,25.6,No Amp,No Amp,20.6,Negative,35.2,3,3,,6,,6,,,9,0,37,overnight
6028,Barnhart,Roof,3/15/2021,40,1829,1609,5,Roof Exhaust TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,30.9,No Amp,No Amp,No Amp,Negative,37,3,3,,6,,6,,,9,0,37,overnight
6015,Barnhart,Lobby,3/15/2021,91,NA,1809,NA,Door South,Settling Plate,NA,33.8,No Amp,No Amp,29.9,Negative,37.9,3,3,,6,,6,,,9,0,37,
6016,Barnhart,Lobby,3/15/2021,91,NA,1809,NA,Door West,Settling Plate,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,3,3,,6,,6,,,9,0,37,
6014,Barnhart,Lobby,3/15/2021,91,NA,1809,NA,Negative Swab,Swab,NA,No Amp,No Amp,No Amp,No Amp,Negative,40,3,3,,6,,6,,,9,0,37,
6020,Barnhart,Roof,3/15/2021,38,NA,1829,NA,Roof port,swab,NA,34.9,No Amp,No Amp,30.3,Negative,38.3,3,3,,6,,6,,,9,0,37,
4134,Barnhart,Lobby,2/11/2021,20,1902,820,3,TF,PUF,NA,28.2,No Amp,29.7,24.8,Positive (2/3),32.6,69,51,18,46,20,26,,1,115,1,5,overnight
5300,Barnhart,Lobby,2/23/2021,63,1904,930,3,TF,PUF,NA,No Amp,No Amp,No Amp,27.2,Negative,40,20,16,4,25,12,13,,1,45,1,17,overnight
6035,Barnhart,2 Hall North,3/16/2021,20,1605,1510,7,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,28.3,Negative,40,1,1,,6,,6,,,7,0,38,overnight
6036,Barnhart,7 Hall North,3/16/2021,20,1607,1515,1,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,29,Negative,40,1,1,,6,,6,,,7,0,38,overnight
6037,Barnhart,Roof,3/16/2021,41,1609,1520,5,Roof Exhaust TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,29,Negative,40,1,1,,6,,6,,,7,0,38,overnight
6023,Barnhart,Lobby,3/16/2021,92,NA,1601,NA,Negative Swab,Swab,0 confirmed positive cases and 7 traced in building on 7th floor South,33.5,No Amp,No Amp,28.7,Negative,37.8,1,1,,6,,6,,,7,0,38,
6024,Barnhart,Lobby,3/16/2021,92,NA,1601,NA,Door South,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,34.7,No Amp,No Amp,28.5,Negative,38.2,1,1,,6,,6,,,7,0,38,
6025,Barnhart,Lobby,3/16/2021,92,NA,1601,NA,Door West,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,30.5,Negative,40,1,1,,6,,6,,,7,0,38,
6029,Barnhart,Roof,3/16/2021,39,NA,1609,NA,Roof port,swab,0 confirmed positive cases and 7 traced in building on 7th floor South,33.3,No Amp,No Amp,29,Negative,37.8,1,1,,6,,6,,,7,0,38,
5301,Barnhart,Lobby,2/23/2021,63,1904,930,4,TF,PUF,NA,No Amp,33.6,No Amp,29.8,Negative,37.9,20,16,4,25,12,13,,1,45,1,17,overnight
3578,Barnhart,Lobby,2/7/2021,5,1906,858,3,TF,PUF,NA,24.8,23.4,22.9,25.7,Positive (3/3),23.7,47,32,15,40,26,14,1,,87,1,1,overnight
6044,Barnhart,2 Hall North,3/17/2021,21,1510,1531,7,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,33.6,No Amp,No Amp,No Amp,Negative,37.9,0,0,,6,,6,,,6,0,39,aftertrac
6045,Barnhart,7 Hall North,3/17/2021,21,1515,1524,1,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,32.2,No Amp,No Amp,28.5,Negative,37.4,0,0,,6,,6,,,6,0,39,overnight
6032,Barnhart,Lobby,3/17/2021,93,NA,1503,NA,Negative Swab,Swab,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,27.7,Negative,40,0,0,,6,,6,,,6,0,39,
6033,Barnhart,Lobby,3/17/2021,93,NA,1503,NA,Door South,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,33.4,No Amp,No Amp,27.6,Negative,37.8,0,0,,6,,6,,,6,0,39,
6034,Barnhart,Lobby,3/17/2021,93,NA,1503,NA,Door West,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,27.9,Negative,40,0,0,,6,,6,,,6,0,39,
6038,Barnhart,Roof,3/17/2021,40,NA,1520,NA,Roof port,swab,0 confirmed positive cases and 7 traced in building on 7th floor South,34.4,No Amp,No Amp,26.7,Negative,38.1,0,0,,6,,6,,,6,0,39,
4284,Barnhart,Lobby,2/12/2021,25,1906,900,3,TF,PUF,NA,No Amp,No Amp,No Amp,25.5,Negative,40,69,54,15,52,28,24,,1,121,1,6,overnight
5139,Barnhart,Lobby,2/22/2021,57,1908,910,3,TF,PUF,NA,No Amp,No Amp,No Amp,29.7,Negative,40,21,15,6,25,12,13,,1,46,1,16,overnight
6046,Barnhart,Roof,3/18/2021,42,1520,1529,5,Roof Exhaust TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,31.6,No Amp,No Amp,30.9,Negative,37.2,0,0,,6,,6,,,6,0,40,overnight
6054,Barnhart,7 Hall North,3/18/2021,22,1524,1218,1,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,23.9,No Amp,No Amp,25.6,Negative,34.6,0,0,,6,,6,,,6,0,40,overnight
6055,Barnhart,Roof,3/18/2021,43,1529,1227,5,Roof Exhaust TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,30.9,No Amp,No Amp,No Amp,Negative,37,0,0,,6,,6,,,6,0,40,overnight
6053,Barnhart,2 Hall North,3/18/2021,22,1531,1207,7,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,34.4,No Amp,No Amp,29.4,Negative,38.1,0,0,,6,,6,,,6,0,40,overnight
6042,Barnhart,Lobby,3/18/2021,94,NA,1520,NA,Door South,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,32.6,No Amp,No Amp,27.2,Negative,37.5,0,0,,6,,6,,,6,0,40,
6043,Barnhart,Lobby,3/18/2021,94,NA,1520,NA,Door West,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,27.7,Negative,40,0,0,,6,,6,,,6,0,40,
6041,Barnhart,Lobby,3/18/2021,94,NA,1520,NA,Negative Swab,Swab,0 confirmed positive cases and 7 traced in building on 7th floor South,NA,NA,NA,NA,NA,NA,0,0,,6,,6,,,6,0,40,
6062,Barnhart,2 Hall North,3/19/2021,23,1207,1120,7,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,34.7,No Amp,No Amp,29.1,Negative,38.2,0,0,,5,,5,,,5,0,41,overnight
6063,Barnhart,7 Hall North,3/19/2021,23,1218,1110,1,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,32.7,No Amp,No Amp,27.4,Negative,37.6,0,0,,5,,5,,,5,0,41,overnight
6064,Barnhart,Roof,3/19/2021,44,1227,1115,5,Roof Exhaust TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,28.5,Negative,40,0,0,,5,,5,,,5,0,41,overnight
5140,Barnhart,Lobby,2/22/2021,57,1908,910,4,TF,PUF,NA,No Amp,No Amp,No Amp,28.8,Negative,40,21,15,6,25,12,13,,1,46,1,16,overnight
4970,Barnhart,Lobby,2/20/2021,52,1925,907,3,TF,PUF,NA,No Amp,No Amp,No Amp,27.1,Negative,40,28,21,7,26,14,12,,,54,0,14,overnight
6050,Barnhart,Lobby,3/19/2021,95,NA,1202,NA,Negative Swab,Swab,0 confirmed positive cases and 7 traced in building on 7th floor South,32.7,No Amp,No Amp,28.2,Negative,37.6,0,0,,5,,5,,,5,0,41,
6051,Barnhart,Lobby,3/19/2021,95,NA,1202,NA,Door South,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,27.6,Negative,40,0,0,,5,,5,,,5,0,41,
6052,Barnhart,Lobby,3/19/2021,95,NA,1202,NA,Door West,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,32.9,No Amp,No Amp,28.6,Negative,37.6,0,0,,5,,5,,,5,0,41,
6047,Barnhart,Roof,3/19/2021,41,NA,1529,NA,Roof port,swab,0 confirmed positive cases and 7 traced in building on 7th floor South,34.5,No Amp,No Amp,28,Negative,38.2,0,0,,5,,5,,,5,0,41,
6056,Barnhart,Roof,3/19/2021,42,NA,1227,NA,Roof port,swab,0 confirmed positive cases and 7 traced in building on 7th floor South,34.5,No Amp,No Amp,28.3,Negative,38.2,0,0,,5,,5,,,5,0,41,
6072,Barnhart,7 Hall North,3/20/2021,24,1110,1116,1,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,No Amp,Negative,40,0,0,,3,,3,,,3,0,42,overnight
6073,Barnhart,Roof,3/20/2021,45,1115,1119,5,Roof Exhaust TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,30.8,31.8,25.8,28.8,Positive (3/3),29.5,0,0,,3,,3,,,3,0,42,overnight
6082,Barnhart,Roof,3/20/2021,46,1119,832,5,Roof Exhaust TF,PUF,0 confirmed positive cases and 0 traced in building,No Amp,No Amp,No Amp,27.8,Negative,40,0,0,,3,,3,,,3,0,42,overnight
6071,Barnhart,2 Hall North,3/20/2021,24,1120,1112,7,TF,PUF,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,No Amp,Negative,40,0,0,,3,,3,,,3,0,42,overnight
4971,Barnhart,Lobby,2/20/2021,52,1925,907,4,TF,PUF,NA,32,No Amp,No Amp,26.8,Negative,37.3,28,21,7,26,14,12,,,54,0,14,overnight
3788,Barnhart,Lobby,2/8/2021,10,2121,800,3,TF,PUF,NA,No Amp,No Amp,No Amp,30.9,Negative,40,52,36,16,41,26,15,1,,93,1,2,overnight
6059,Barnhart,Lobby,3/20/2021,96,NA,1105,NA,Negative Swab,Swab,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,27.8,Negative,40,0,0,,3,,3,,,3,0,42,
6060,Barnhart,Lobby,3/20/2021,96,NA,1105,NA,Door South,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,27.5,Negative,40,0,0,,3,,3,,,3,0,42,
6061,Barnhart,Lobby,3/20/2021,96,NA,1105,NA,Door West,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,27.2,Negative,40,0,0,,3,,3,,,3,0,42,
6077,Barnhart,Lobby,3/20/2021,98,NA,849,NA,Negative Swab,Swab,0 confirmed positive cases and 0 traced in building,No Amp,No Amp,No Amp,27.1,Negative,40,0,0,,3,,3,,,3,0,42,
6078,Barnhart,Lobby,3/20/2021,98,NA,849,NA,Door South,Settling Plate,0 confirmed positive cases and 0 traced in building,34.5,No Amp,No Amp,27,Negative,38.2,0,0,,3,,3,,,3,0,42,
6079,Barnhart,Lobby,3/20/2021,98,NA,849,NA,Door West,Settling Plate,0 confirmed positive cases and 0 traced in building,No Amp,No Amp,No Amp,27.1,Negative,40,0,0,,3,,3,,,3,0,42,
6065,Barnhart,Roof,3/20/2021,43,NA,1115,NA,Roof port,swab,0 confirmed positive cases and 7 traced in building on 7th floor South,33.5,No Amp,No Amp,27.7,Negative,37.8,0,0,,3,,3,,,3,0,42,
6083,Barnhart,Roof,3/20/2021,45,NA,832,NA,Roof port,swab,0 confirmed positive cases and 0 traced in building,No Amp,No Amp,No Amp,28.9,Negative,40,0,0,,3,,3,,,3,0,42,
6080,Barnhart,2 Hall North,3/21/2021,25,1112,846,7,TF,PUF,0 confirmed positive cases and 0 traced in building,No Amp,No Amp,No Amp,28,Negative,40,0,0,,3,,3,,,3,0,43,other
6081,Barnhart,7 Hall North,3/21/2021,25,1116,836,1,TF,PUF,0 confirmed positive cases and 0 traced in building,No Amp,No Amp,No Amp,No Amp,Negative,40,0,0,,3,,3,,,3,0,43,overnight
6075,Barnhart,Lobby,3/21/2021,98,1110,849,3,TF,PUF,0 confirmed positive cases and 0 traced in building,31.9,No Amp,No Amp,26.1,Negative,37.3,0,0,,3,,3,,,3,0,43,between
6076,Barnhart,Lobby,3/21/2021,98,1110,849,4,TF,PUF,0 confirmed positive cases and 0 traced in building,32.1,No Amp,No Amp,27.5,Negative,37.4,0,0,,3,,3,,,3,0,43,between
6068,Barnhart,Lobby,3/21/2021,97,NA,1110,NA,Negative Swab,Swab,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,28,Negative,40,0,0,,3,,3,,,3,0,43,
6069,Barnhart,Lobby,3/21/2021,97,NA,1110,NA,Door South,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,34.5,No Amp,No Amp,27.9,Negative,38.2,0,0,,3,,3,,,3,0,43,
6070,Barnhart,Lobby,3/21/2021,97,NA,1110,NA,Door West,Settling Plate,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,27.3,Negative,40,0,0,,3,,3,,,3,0,43,
6074,Barnhart,Roof,3/21/2021,44,NA,1119,NA,Roof port,swab,0 confirmed positive cases and 7 traced in building on 7th floor South,No Amp,No Amp,No Amp,27.6,Negative,40,0,0,,3,,3,,,3,0,43,
